0,2,3,6,5,8,11,14,13,12,14,12,21,16,5,8,16,13,24,26,30,19,20,24,30,41,12,17,19,13,35
2,0,4,6,7,8,11,14,12,10,13,10,20,16,4,8,16,13,23,26,30,20,20,24,29,41,12,17,19,13,36
3,4,0,2,7,11,14,17,12,10,13,10,20,14,4,5,13,10,21,23,27,16,17,20,27,37,9,13,16,10,32
6,6,2,0,5,13,16,19,15,12,15,11,21,14,6,5,14,10,21,23,27,14,15,18,24,36,7,12,14,8,30
5,7,7,5,0,13,16,19,19,17,19,17,25,19,10,10,18,15,26,28,32,19,19,23,29,36,11,12,15,7,31
8,8,11,13,13,0,4,7,19,17,20,18,27,22,11,15,23,20,31,33,37,27,28,31,37,48,19,24,26,21,43
11,11,14,16,16,4,0,3,23,20,23,21,30,26,14,18,27,23,34,36,40,30,31,34,40,51,23,27,30,23,46
14,14,17,19,19,7,3,0,26,23,26,24,33,29,17,21,30,26,37,39,43,33,34,37,43,54,26,30,33,26,49
13,12,12,15,19,19,23,26,0,3,2,5,9,8,9,11,12,9,16,21,22,19,22,21,26,47,15,23,25,22,44
12,10,10,12,17,17,20,23,3,0,3,2,10,7,7,8,10,6,15,19,22,16,19,18,24,44,12,19,22,19,40
14,13,13,15,19,20,23,26,2,3,0,5,7,6,10,10,10,8,14,19,21,18,22,19,24,46,15,22,25,22,43
12,10,10,11,17,18,21,24,5,2,5,0,11,5,7,7,8,4,13,18,20,14,17,17,22,42,10,17,20,18,38
21,20,20,21,25,27,30,33,9,10,7,11,0,6,17,16,10,10,10,16,16,20,23,18,23,50,18,25,28,26,46
16,16,14,14,19,22,26,29,8,7,6,5,6,0,12,10,4,4,9,13,15,13,17,13,19,44,12,19,22,20,40
5,4,4,6,10,11,14,17,9,7,10,7,17,12,0,5,13,10,20,23,27,18,18,21,26,42,10,17,20,14,36
8,8,5,5,10,15,18,21,11,8,10,7,16,10,5,0,9,6,16,19,23,13,13,17,22,37,5,12,15,12,33
16,16,13,14,18,23,27,30,12,10,10,8,10,4,13,9,0,4,7,10,14,10,13,9,15,43,11,18,21,19,39
13,13,10,10,15,20,23,26,9,6,8,4,10,4,10,6,4,0,11,13,17,10,13,12,18,40,8,15,18,16,36
24,23,21,21,26,31,34,37,16,15,14,13,10,9,20,16,7,11,0,6,6,15,18,12,15,40,18,25,28,26,46
26,26,23,23,28,33,36,39,21,19,19,18,16,13,23,19,10,13,6,0,5,10,14,6,9,34,18,21,24,26,44
30,30,27,27,32,37,40,43,22,22,21,20,16,15,27,23,14,17,6,5,0,16,19,12,14,38,23,27,29,32,49
19,20,16,14,19,27,30,33,19,16,18,14,20,13,18,13,10,10,15,10,16,0,4,4,10,27,8,11,13,16,33
20,20,17,15,19,28,31,34,22,19,22,17,23,17,18,13,13,13,18,14,19,4,0,8,10,23,8,10,12,16,32
24,24,20,18,23,31,34,37,21,18,19,17,18,13,21,17,9,12,12,6,12,4,8,0,6,30,12,15,17,20,38
30,29,27,24,29,37,40,43,26,24,24,22,23,19,26,22,15,18,15,9,14,10,10,6,0,25,18,20,22,26,42
41,41,37,36,36,48,51,54,47,44,46,42,50,44,42,37,43,40,40,34,38,27,23,30,25,0,32,24,22,29,31
12,12,9,7,11,19,23,26,15,12,15,10,18,12,10,5,11,8,18,18,23,8,8,12,18,32,0,7,10,8,28
17,17,13,12,12,24,27,30,23,19,22,17,25,19,17,12,18,15,25,21,27,11,10,15,20,24,7,0,3,5,21
19,19,16,14,15,26,30,33,25,22,25,20,28,22,20,15,21,18,28,24,29,13,12,17,22,22,10,3,0,7,19
13,13,10,8,7,21,23,26,22,19,22,18,26,20,14,12,19,16,26,26,32,16,16,20,26,29,8,5,7,0,24
35,36,32,30,31,43,46,49,44,40,43,38,46,40,36,33,39,36,46,44,49,33,32,38,42,31,28,21,19,24,0
